Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,First Round Seed,First Round Seed,First Round Seed,First Round Seed,First Round Seed,First Round Seed,First Round Seed,First Round Seed,Unnamed: 22_level_0,Pre Play-In,Pre Play-In,Pre Play-In,Pre Play-In,Pre Play-In,Pre Play-In,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,Unnamed: 22_level_1,1-6,7,8,9,10,Out,Unnamed: 29_level_1,Win Conf,Win Finals
1.0,Boston Celtics,56.6,25.4,0.691,-0.35,0.34,5.78,42-17,15-8,64-18,48-34,100.0%,93.5%,67.1,26.0,5.1,1.8,,,,,,100.0,,,,,,,32.9%,22.9%
2.0,Milwaukee Bucks,54.8,27.2,0.669,-0.11,0.23,3.12,41-17,14-10,63-19,46-36,100.0%,77.7%,25.9,46.3,17.4,9.8,0.6,,,,,100.0,,,,,,,11.9%,6.3%
3.0,Cleveland Cavaliers,51.9,30.1,0.633,-0.02,-0.72,5.6,38-23,14-7,59-23,44-38,100.0%,22.3%,3.7,15.2,39.3,34.0,6.8,1.0,0.1,,,99.9,0.1,,,,,,28.1%,19.1%
4.0,Philadelphia 76ers,52.0,30.0,0.634,-0.37,1.02,3.52,38-19,14-11,60-22,42-40,100.0%,6.4%,3.4,12.5,36.1,42.0,5.3,0.7,0.1,,,99.9,0.2,,,,,,12.9%,7.3%
5.0,Brooklyn Nets,47.0,35.0,0.573,0.05,0.21,1.77,34-24,13-11,56-26,39-43,97.8%,,,0.1,1.9,9.6,55.6,22.3,5.6,2.7,,89.5,9.0,1.3,0.3,,,,4.5%,2.1%
6.0,New York Knicks,45.1,36.9,0.55,0.04,0.24,2.27,33-27,12-10,53-29,37-45,91.4%,,,,0.2,2.1,20.1,41.1,18.7,9.3,,63.5,26.2,7.2,2.3,0.7,0.2,,5.4%,2.5%
7.0,Miami Heat,43.2,38.8,0.527,-0.02,0.6,0.01,32-27,11-12,52-30,35-47,74.4%,70.2%,,,0.1,0.7,9.6,24.2,24.2,15.8,,34.5,33.8,15.7,9.5,4.6,2.0,,1.5%,0.5%
8.0,Washington Wizards,40.7,41.3,0.496,0.15,-0.21,0.45,28-30,13-11,50-32,31-51,47.7%,18.6%,,,,,1.3,5.5,19.9,21.0,,6.8,14.1,26.4,22.6,17.4,12.7,,1.0%,0.4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Atlanta Hawks,39.9,42.1,0.487,-0.22,0.72,-0.58,29-30,11-12,48-34,31-51,33.4%,11.2%,,,,,0.6,3.1,12.3,17.5,,3.7,8.0,20.2,24.4,20.9,22.9,,0.5%,0.2%
10.0,Toronto Raptors,39.7,42.3,0.484,0.0,0.42,0.87,28-31,12-11,47-35,31-51,34.9%,,,,,,0.2,1.9,13.6,19.2,,2.1,7.1,19.2,22.0,23.7,25.9,,1.1%,0.4%
11.0,Chicago Bulls,37.8,44.2,0.461,0.33,-0.4,0.04,26-33,12-11,46-36,30-52,16.2%,,,,,,,0.2,4.7,11.3,,0.2,1.5,8.3,14.1,20.4,55.5,,0.3%,0.1%
12.0,Indiana Pacers,35.7,46.3,0.436,0.47,-0.39,-2.16,26-34,10-12,44-38,28-54,3.6%,,,,,,,,0.8,2.9,,,0.2,1.7,4.3,9.8,84.1,,,
13.0,Orlando Magic,34.1,47.9,0.415,0.28,-0.11,-2.49,24-35,10-13,42-40,26-56,0.5%,,,,,,,,0.1,0.5,,,,0.1,0.7,2.4,96.8,,,
14.0,Detroit Pistons,22.6,59.4,0.276,0.78,-0.59,-6.81,15-44,8-15,32-50,15-67,,,,,,,,,,,,,,,,,100.0,,,
15.0,Charlotte Hornets,24.5,57.5,0.299,0.38,0.26,-6.04,17-43,8-14,33-49,17-65,,,,,,,,,,,,,,,,,100.0,,,
